epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6199399828910828,0.0010000000474974513,1.0890341997146606,0.7235465049743652,0.7455024719238281
1,0.7160267233848572,0.0010000000474974513,0.7258083820343018,0.7639535069465637,0.6216751337051392
2,0.7389919757843018,0.0010000000474974513,0.6345177888870239,0.7741279006004333,0.5822768211364746
3,0.7572417259216309,0.0010000000474974513,0.5822124481201172,0.7834302186965942,0.5534207224845886
4,0.7647131085395813,0.0010000000474974513,0.5514569878578186,0.7749999761581421,0.5904294848442078
5,0.7723069190979004,0.0010000000474974513,0.5302285552024841,0.7848837375640869,0.5713911652565002
6,0.7783697843551636,0.0010000000474974513,0.5254424214363098,0.7950581312179565,0.5514350533485413
7,0.7906179428100586,0.0010000000474974513,0.4893607795238495,0.7936046719551086,0.5285465121269226
8,0.792332649230957,0.0010000000474974513,0.48040834069252014,0.7968023419380188,0.5600358247756958
9,0.7962520718574524,0.0010000000474974513,0.4702702760696411,0.7837209105491638,0.5965884327888489
